TradeMaximizer Version 1.4a
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: c7cf1ff73cd57943d18ae17fe274f46
TRADE LOOPS (137 total trades):
(VOLATYLE) 8635181           receives (LUCASCMEDEIROS) 8635451     and sends to (BERROLDER) 8641694
(VOLATYLE) 8635185           receives (NANDONEVES2404) 8632425     and sends to (LUCASCMEDEIROS) 8642250
(WAN42) 8636167              receives (REDOUTLAW) 8631736          and sends to (SERGIMCVO) 8642147
(WAN42) 8636169              receives (PHILLZIS) 8633303           and sends to (BRUNOBENTO) 8641734
(YAKKOOWARNER) 8641746       receives (FILIPERR) 8641617           and sends to (SERGIMCVO) 8642108

Num trades  = 137 of 477 items (28,7%)
Total cost  = 137 (avg 1,00)
Num groups  = 8
Group sizes = 82 27 9 7 4 4 2 2
Sum squares = 7623
Elapsed time = 144ms
