TradeMaximizer Version 1.4aMT
Input from: ./julho2021/wants.txt
Options: ALLOW-DUMMIES REQUIRE-COLONS REQUIRE-USERNAMES HIDE-NONTRADES SHOW-ELAPSED-TIME SEED=123456 METRIC=USERS-TRADING

Input Checksum: ec726b75b2a0361c2bf12d607de6f2b5
TRADE LOOPS (396 total trades):

(MARCOSFSOUZA) 8388176     receives (ARAGAKI SAN) 8388306
(ARAGAKI SAN) 8388306      receives (BRUNOBENTO) 8387191
(BRUNOBENTO) 8387191       receives (PATTY_TASS) 8388429
(PATTY_TASS) 8388429       receives (RUASBR) 8381474
(RUASBR) 8381474           receives (GTORRES87) 8383428
(GTORRES87) 8383428        receives (TATO30001) 8386955
(TATO30001) 8386955        receives (ALISONARANTES) 8382895
(ALISONARANTES) 8382895    receives (FMDS) 8387365
(FMDS) 8387365             receives (RMCORREA) 8379743
(RMCORREA) 8379743         receives (BRUNOBENTO) 8387171
(BRUNOBENTO) 8387171       receives (RUASBR) 8381476
(RUASBR) 8381476           receives (BRUNOBENTO) 8387176
(BRUNOBENTO) 8387176       receives (PSCHULMAN) 8382892
(PSCHULMAN) 8382892        receives (ARAGAKI SAN) 8388226
(ARAGAKI SAN) 8388226      receives (BRUNOBENTO) 8381899
(BRUNOBENTO) 8381899       receives (WALTERSF) 8386181
(WALTERSF) 8386181         receives (GUBHZ) 8380053
(GUBHZ) 8380053            receives (DDATHAYDE) 8383293
(DDATHAYDE) 8383293        receives (SERGIMCVO) 8380419
(SERGIMCVO) 8380419        receives (PHILLZIS) 8383251
(PHILLZIS) 8383251         receives (LUCASCMEDEIROS) 8380278
(LUCASCMEDEIROS) 8380278   receives (IVANPUMA) 8388365
(IVANPUMA) 8388365         receives (PSALES94) 8381859
(PSALES94) 8381859         receives (ALCMAGALHAES) 8380832
(ALCMAGALHAES) 8380832     receives (GUBHZ) 8380047
(GUBHZ) 8380047            receives (ROBERTOTJR) 8379659
(ROBERTOTJR) 8379659       receives (URIENS1981) 8388507
(URIENS1981) 8388507       receives (ALISONARANTES) 8382899
(ALISONARANTES) 8382899    receives (LUCASCMEDEIROS) 8384367
(LUCASCMEDEIROS) 8384367   receives (ARAGAKI SAN) 8386026
(ARAGAKI SAN) 8386026      receives (DPMPESSOA) 8382399
(DPMPESSOA) 8382399        receives (ALCMAGALHAES) 8383487
(ALCMAGALHAES) 8383487     receives (RMCORREA) 8379739
(RMCORREA) 8379739         receives (PSYCHOBIO) 8386824
(PSYCHOBIO) 8386824        receives (DUCGS) 8388357
(DUCGS) 8388357            receives (ALEXLETHI) 8380856
(ALEXLETHI) 8380856        receives (ALCMAGALHAES) 8380830

(ALCMAGALHAES) 8380836     receives (RTITO66) 8388635
(RTITO66) 8388635          receives (ALCMAGALHAES) 8380836

(ALISONARANTES) 8382952    receives (IVANPUMA) 8388358
(IVANPUMA) 8388358         receives (M4LK4V) 8380083
(M4LK4V) 8380083           receives (RMCORREA) 8381598
(RMCORREA) 8381598         receives (PATTY_TASS) 8388490
(PATTY_TASS) 8388490       receives (RMCORREA) 8381693
(RMCORREA) 8381693         receives (HICKMORAIS) 8388439
